,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
40,44 E Main St,Fast Food,Webster,US,42.055826,-71.873999,McDonald's,1570,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
41,789 Main St,Fast Food,Waltham,US,42.376247,-71.241667,McDonald's,2451,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
42,20 Main St,Fast Food Restaurant,Townsend,US,42.650503,-71.662674,McDonald's,1469,MA,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com"
43,595 Main St,Fast Food Restaurant,Walpole,US,42.157222,-71.243549,McDonald's,2081,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
44,282 Winthrop St,Fast Food,Taunton,US,41.88896,-71.120789,McDonald's,2780,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
45,660 Liberty St,Fast Food,Springfield,US,42.12193,-72.584242,McDonald's,1104,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
46,360 Main St,Fast Food Restaurants,Springfield,US,42.091561,-72.579647,McDonald's,1105,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
47,2392 Main St,Fast Food Restaurants,Springfield,US,42.111552,-72.603359,McDonald's,1107,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
48,1402 Allen St,Fast Food Restaurant,Springfield,US,42.095053,-72.512539,McDonald's,1118,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
49,1610 Boston Rd,Fast Food Restaurants,Springfield,US,42.142989,-72.48923,McDonald's,1129,MA,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
